"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create Account","29710","Check creation of new account","Surefire suite","Mon Jan 20 16:48:20 GMT 2025","passed","Mon Jan 20 16:48:50 GMT 2025","tests.CreateAccountTest","Surefire test","tests.CreateAccountTest","loginUser"
"Log in user","6021","Check login","Surefire suite","Mon Jan 20 16:48:51 GMT 2025","passed","Mon Jan 20 16:48:57 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","loginUser"
